,Unnamed: 0,Company,Product,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price_euros,Approx Gpu,Model_x,Benchmark_x,Model_y,Benchmark_y,Cpu percentile,Gpu percentile,Weight percentile,Ram percentile,Size percentile,Pixels,Pixel percentile,Price percentile,performance,portability,battery_qual,screen_qual
0,3,HP,250 G6,Notebook,15.6,Full HD 1920x1080,Core i5 7200U,8.0,256GB SSD,Intel HD Graphics 620,No OS,1.86,575.0,Iris Plus G4,Core i5 7200U,57.6,Iris Plus G4,7.26,0.38578199052132706,0.7374407582938389,0.3492890995260664,0.514218009478673,0.5976303317535545,1920,0.5857819905213271,0.12037914691943127,0.5392890995260664,0.42379146919431276,0.3945971563981042,0.5881516587677726
1,133,Dell,Inspiron 5567,Notebook,15.6,1366x768,Core i5 7200U,8.0,1TB HDD,AMD Radeon R7 M445,Windows 10,2.36,638.99,Iris Plus G4,Core i5 7200U,57.6,Iris Plus G4,7.26,0.38578199052132706,0.7374407582938389,0.7407582938388626,0.514218009478673,0.5976303317535545,1366,0.12132701421800947,0.17061611374407584,0.5392890995260664,0.6978199052132701,0.39962085308056866,0.2165876777251185
2,804,Lenovo,ThinkPad X1,2 in 1 Convertible,14.0,IPS Panel Touchscreen 2560x1440,Core i5 7200U,8.0,256GB SSD,Intel HD Graphics 620,Windows 10,1.42,2330.0,Iris Plus G4,Core i5 7200U,57.6,Iris Plus G4,7.26,0.38578199052132706,0.7374407582938389,0.1786729857819905,0.514218009478673,0.25687203791469193,2560,0.9682464454976304,0.928909952606635,0.5392890995260664,0.2021327014218009,0.4072985781990521,0.8259715639810428
3,375,HP,Elitebook 1040,Ultrabook,14.0,IPS Panel Full HD 1920x1080,Core i7 7500U,8.0,256GB SSD,Intel HD Graphics 620,Windows 10,1.36,1750.0,Iris Plus G4,Core i7 7500U,58.9,Iris Plus G4,7.26,0.5516587677725119,0.7374407582938389,0.14360189573459714,0.514218009478673,0.25687203791469193,1920,0.5857819905213271,0.804739336492891,0.6222274881516588,0.17758293838862557,0.34511848341232226,0.5200000000000001
4,445,Lenovo,ThinkPad T470s,Ultrabook,14.0,2560x1440,Core i7 7500U,24.0,512GB SSD,Intel HD Graphics 620,Windows 10,1.32,2382.0,Iris Plus G4,Core i7 7500U,58.9,Iris Plus G4,7.26,0.5516587677725119,0.7374407582938389,0.12985781990521328,0.9829383886255925,0.25687203791469193,2560,0.9682464454976304,0.9345971563981043,0.6690995260663508,0.16796208530805687,0.35810426540284357,0.8259715639810428
5,309,Asus,GL553VE-FY082T (i7-7700HQ/8GB/1TB,Gaming,15.6,Full HD 1920x1080,Core i7 7700HQ,8.0,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,Windows 10,2.5,1265.0,Iris Plus G4,Core i7 7700HQ,69.2,Iris Plus G4,7.26,0.909478672985782,0.7374407582938389,0.8052132701421801,0.514218009478673,0.5976303317535545,1920,0.5857819905213271,0.6156398104265403,0.8011374407582939,0.7429383886255924,0.2870142180094786,0.5881516587677726
6,312,Toshiba,Satellite Pro,Notebook,15.6,IPS Panel Full HD 1920x1080,Core i7 6500U,8.0,256GB SSD,Nvidia GeForce 930M,Windows 10,2.2,1043.0,Iris Plus G4,Core i7 6500U,55.6,Iris Plus G4,7.26,0.25118483412322273,0.7374407582938389,0.6189573459715639,0.514218009478673,0.5976303317535545,1920,0.5857819905213271,0.47393364928909953,0.47199052132701425,0.612559241706161,0.4703317535545023,0.5881516587677726
7,11,HP,250 G6,Notebook,15.6,1366x768,Core i5 7200U,4.0,500GB HDD,Intel HD Graphics 620,No OS,1.86,393.9,UHD Graphics 600,Core i5 7200U,57.6,UHD Graphics 600,1.51,0.38578199052132706,0.050710900473933646,0.3492890995260664,0.11137440758293839,0.5976303317535545,1366,0.12132701421800947,0.014218009478672987,0.22431279620853084,0.42379146919431276,0.59,0.2165876777251185
8,70,Lenovo,V310-15ISK (i5-7200U/4GB/1TB/FHD/W10),Notebook,15.6,Full HD 1920x1080,Core i5 7200U,4.0,1TB HDD,Intel HD Graphics 620,Windows 10,1.9,549.0,UHD Graphics 600,Core i5 7200U,57.6,UHD Graphics 600,1.51,0.38578199052132706,0.050710900473933646,0.3744075829383886,0.11137440758293839,0.5976303317535545,1920,0.5857819905213271,0.1042654028436019,0.22431279620853084,0.44137440758293833,0.5990047393364929,0.5881516587677726
9,221,Lenovo,IdeaPad 320-17IKB,Notebook,17.3,1600x900,Core i5 7200U,8.0,1TB HDD,Nvidia GeForce GTX 940MX,No OS,2.8,589.0,UHD Graphics 600,Core i5 7200U,57.6,UHD Graphics 600,1.51,0.38578199052132706,0.050710900473933646,0.8990521327014218,0.514218009478673,0.928909952606635,1600,0.21327014218009477,0.13222748815165877,0.2645971563981043,0.9080094786729858,0.6680568720379146,0.35639810426540286
10,288,Lenovo,Ideapad 320-15IKBN,Notebook,15.6,Full HD 1920x1080,Core i5 7200U,6.0,256GB SSD,Intel HD Graphics 620,Windows 10,2.2,579.0,UHD Graphics 600,Core i5 7200U,57.6,UHD Graphics 600,1.51,0.38578199052132706,0.050710900473933646,0.6189573459715639,0.23507109004739338,0.5976303317535545,1920,0.5857819905213271,0.12417061611374408,0.23668246445497634,0.612559241706161,0.6009952606635072,0.5881516587677726
11,39,HP,250 G6,Notebook,15.6,1366x768,Core i5 7200U,4.0,1TB HDD,Intel HD Graphics 620,Windows 10,1.86,488.69,UHD Graphics 605,Core i5 7200U,57.6,UHD Graphics 605,2.16,0.38578199052132706,0.24360189573459717,0.3492890995260664,0.11137440758293839,0.5976303317535545,1366,0.12132701421800947,0.06540284360189573,0.30146919431279623,0.42379146919431276,0.5372511848341233,0.2165876777251185
