,Best Seller Ranking,Brand,Series,Model,Color,Operating System,CPU,Screen,Memory,Storage,Graphics Card,Video Memory,Dimensions (W x D x H),Weight,CPU Type,CPU Speed,Turbo Frequency,Number of Cores,CPU L3 Cache,Screen Size,Touchscreen,Wide Screen Support,Display Type,Resolution,Panel,LCD Features,GPU/VPU,Graphic Type,SSD,Memory Spec,Memory Slot (Total),Memory Slot (Available),Optical Drive Type,WLAN,WiFi Generation,Bluetooth,USB,HDMI,Keyboard,Backlit Keyboard,Webcam,Card Reader,Style,Type,Usage,Battery,Battery Life,Package Content,Date First Available,Price,Part Number,HDD,Memory Speed,Other Features,Core Name,Storage Spec,Max Memory Supported,Optical Drive Spec,Thunderbolt,Audio Ports,Touchpad,AC Adapter,Consumer Alert,Color Gamut,Audio,Memory Type,LAN,Ethernet,Speaker,Bezel Design,Chipset,Software Included,HDD RPM,HDD Interface,CPU Support,Video Port,Package Type,Other port,CPU L2 Cache,Refresh Rate,Virtual Reality Ready,Pointing Stick,Thunderbolt 3,Optical Drive,Tech,Smart Cache,Communication,Optical Drive Interface,Card slot
"ASUS ZenBook 13 Ultra-Slim Laptop, 13.3"" OLED FHD NanoEdge Bezel Display, AMD Ryzen 7 5700U, 8GB LPDDR4X RAM, 512GB PCIe SSD, NumberPad, Wi-Fi 5, Windows 10 Home, Pine Grey, UM325UA-DS71",#48 in Laptops / Notebooks,ASUS,ZenBook,UM325UA-DS71,Pine Gray,Windows 10 Home 64-bit,AMD Ryzen 7 5700U 1.80 GHz,"13.3"" OLED",8GB,512 GB PCIe SSD,AMD Radeon Graphics,Shared system memory,"12.00"" x 8.00"" x 0.50""",2.50 lbs.,AMD Ryzen 7 5000 Series,5700U (1.80GHz),Up to 4.30 GHz,8-core Processor,8 MB,"13.3""",No,Yes,Full HD,1920 x 1080,OLED,"400 nits, Glossy",AMD Radeon Graphics,Integrated Card,512 GB PCIe,8 GB onboard,0,0,No,802.11ac  Wireless LAN,Wi-Fi 5,Bluetooth 5.0 (Dual band) 2x2,1 x USB 3.2 Gen 1 Type-A2 x USB 3.2 Gen 2 Type-C support display / power delivery,1 x HDMI,Backlit Chiclet Keyboard,Backlit,HD camera with IR function to support Windows Hello,Micro SD,Thin and Light,Home / Personal,Consumer,"67 WHrs, 4S1P, 4-cell Li-ion",Up to 16 Hours,"Sleeve, USB-A to RJ45 gigabit ethernet adapter, USB-C to audio jack adapter","May 04, 2021","2    849.99
Name: 222, dtype: object",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo ThinkPad X12 Detachable Gen 1 Laptop, 12.3"" FHD IPS Touch  400 nits, i5-1130G7,   Iris Xe Graphics, 16GB, 512GB SSD, Win 10 Pro",#22 in Laptops / Notebooks,Lenovo,,20UW0012US,Black,Windows 10,,,16GB,,,,,2.40 lbs,Intel Core i5,1.80GHz,,Quad-core Processor,,"12.3""",Yes,,Full HD,1920 x 1280,,,,Integrated Card,512 GB,,,,,,,Bluetooth 5.0,,,,Yes,,,,Home / Personal,,Lithium Polymer,,,"December 21, 2021","2    949.00
Name: 38, dtype: object",20UW0012US,No,DDR4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Acer Intel EVO Laptop Swift 5 SF514-55TA-77WW Intel Core i7 11th Gen 1165G7 (2.80 GHz) 16 GB Memory 512 GB PCIe SSD Intel Iris Xe Graphics 14.0"" Touchscreen Windows 11 Home 64-bit - OEM",#40 in Laptops / Notebooks,Acer,Swift 5,SF514-55TA-77WW,Mist Green,Windows 11 Home 64-bit,Intel Core i7-1165G7 2.80 GHz,"14"" IPS Touchscreen",16GB,512 GB PCIe SSD,Intel Iris Xe Graphics,Shared system memory,"12.60"" x 8.10"" x 0.59""",2.31 lbs.,Intel Core i7 11th Gen,1165G7 (2.80GHz),,Quad-core Processor,12 MB,"14.0""",Yes,Yes,Full HD,1920 x 1080,IPS,CineCrystal,Intel Iris Xe Graphics,Integrated Card,512 GB PCIe,,,2,No,IEEE 802.11 a/b/g/n/ac/ax,Wi-Fi 6,Bluetooth 5.0,2 x USB 3.2 Gen 1 Type-A,1 x HDMI,Standard,Backlit,Yes,,Thin and Light,Home / Personal,Consumer,Lithium Ion,Up to 15 Hours,Swift 5 SF514-55TA-77WW NotebookLithium Ion BatteryAC Adapter,"October 25, 2021","2    999.99
Name: 39, dtype: object",NX.A6SAA.006,No,,Fingerprint reader,Tiger Lake,512 GB PCIe Hard Drive,32 GB,Not Included,1 x Thunderbolt 4,Yes,Multi-touch Gesture,65-watt AC Adapter,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Helix WorkPlex 1170EN Premium 15.6"" Touchscreen Notebook - Intel Core i7 EVO 11th Gen 1165G7 (2.80GHz), 16GB DDR4, 512GB PCIe NVMe SSD, Wi-Fi 6 /BT 5.1, Win 10 Home, 2 Years Warranty",#3 in Business Laptops,Helix,WorkPlex 1170EN Premium,BBC710ECUXBC1,Shadow Gray,Windows 10 Home,Intel Core i7 (11th Gen) 1165G7 / 2.8 GHz (4.7 GHz) / 12 MB Cache,"15.6"" IPS 1080p 10 Point Touchscreen",16GB,"512GB PCIe 3.0 x4, NVMe SSD",Intel Iris Xe Graphics,Shared system memory,"13.98"" x 9.05"" x 0.59""",3.99 lbs.,Intel Core i7 11th Gen,1165G7 (2.80GHz),,Quad-core Processor,12 MB,"15.6""",10 Point Touchscreen,Yes,Full HD,1920 x 1080,IPS,,Intel Iris Xe Graphics,Integrated Card,512GB PCIe 3.0 x4 NVMe SSD,,,,,802.11ax  Wireless LAN,,Bluetooth 5.1,,,,,,,Thin and Light,Work / Business,Business,,,,"October 06, 2021","2    1,249.99
Name: 40, dtype: object",,,DDR4 4266,,,,,,,,,AC 100/240V (50/60 Hz),One-year Battery Warranty,,,,,,,,,,,,,,,,,,,,,,,,,,
"ASUS VivoBook 15 OLED K513 Laptop, 15.6 OLED Display, Intel i7-1165G7 CPU, NVIDIA GeForce MX350 GPU, 8GB RAM, 512GB PCIe SSD, Fingerprint Reader, Windows 10 Home, Indie Black, K513EQ-NB74",#8 in Laptops / Notebooks,ASUS,VivoBook,K513EQ-NB74,Indie Black,Windows 10 Home 64-bit,Intel Core i7-1165G7 2.80 GHz,"15.6"" OLED",8GB,512 GB PCIe SSD,NVIDIA GeForce MX350,2GB,"14.13"" x 9.25"" x 0.70""",3.97 lbs.,Intel Core i7 11th Gen,1165G7 (2.80GHz),Up to 4.70 GHz,Quad-core Processor,12 MB,"15.6""",No,Yes,Full HD,1920 x 1080,OLED,"OLED, 400 nits, Glossy, 100% DCI-P3, Pantone Validated",NVIDIA GeForce MX350,Dedicated Card,512 GB PCIe,4 GB onboard + 4 GB x 1,1,0,No,802.11ax  Wireless LAN,Wi-Fi 6,Bluetooth 5.0 (Dual band) 2x2,1 x USB 3.2 Gen 1 Type-A1 x USB 3.2 Gen 1 Type-C2 x USB 2.0 Type-A,1 x HDMI 1.4,Backlit Chiclet Keyboard with Num-key,Backlit,720p HD camera,Micro SD,Thin and Light,Home / Personal / Work / Business,Consumer,"42WHrs, 3S1P, 3-cell Li-ion",Battery life up to 6 Hours,,"August 26, 2021","2    919.99
Name: 41, dtype: object",90NB0SK1-M02500,No,,Fingerprint reader,Tiger Lake,"1 x M.2 2280 PCIe 3.0x21 x STD 2.5"" SATA HDD",12 GB,Not Included,,1 x Headphone out,,"65W AC AdapterOutput: 19V DC, 3.42A, 65WInput: 100~240V AC 50/60Hz universal",,100% DCI-P3,,,,,,,,,,,,,,,,,,,,,,,,,
"Helix WorkPlex 1170N Premium 15.6"" Touchscreen Notebook - Intel Core i7 11th Gen 1165G7 (2.80GHz), 16GB DDR4, 512GB PCIe 3.0 x4 NVMe SSD, Wi-Fi 6/ BT 5.1, Windows 10 Pro, 2 Years Warranty",#15 in Business Laptops,Helix,WorkPlex 1170N Premium,BBC710ECU7B01,Shadow Gray,Windows 10 Pro,Intel Core i7 (11th Gen) 1165G7 / 2.8 GHz (4.7 GHz) / 12 MB Cache,"15.6"" IPS 1080p 10 Point Touchscreen",16GB RAM 4266MHz,"512GB PCIe 3.0 x4, NVMe SSD",Intel Iris Xe Graphics,Shared system memory,"13.98"" x 9.05"" x 0.59""",3.99 lbs.,Intel Core i7 11th Gen,1165G7 (2.80GHz),,Quad-core Processor,12 MB,"15.6""",10 Point Touchscreen,Yes,Full HD,1920 x 1080,IPS,,Intel Iris Xe Graphics,Integrated Card,"512GB PCIe 3.0 x4, NVMe SSD",,,,,802.11ax  Wireless LAN,,Bluetooth 5.1,,,,Backlit,,,,Education / Work / Business / Workstation,,,,,"October 06, 2021","2    1,279.99
Name: 42, dtype: object",,,,,,,,,,,,AC 100/240V (50/60 Hz),One-year Battery Warranty,,Realtek ALC711,,,,,,,,,,,,,,,,,,,,,,,,
"Helix WorkPlex 1150N Premium 15.6"" Touchscreen Notebook - Intel Core i5 11th Gen 1135G7 (2.40GHz), 8GB DDR4, 512GB PCIe 3.0 x4 NVMe SSD, Wi-Fi 6/ BT 5.1, Windows 10 Pro, 2 Years Warranty",#26 in Business Laptops,Helix,WorkPlex 1150N Premium,BBC510ECU7A01,Shadow Gray,Windows 10 Pro,Intel Core i5 (11th Gen) 1135G7 / 2.4 GHz (4.2 GHz) / 8 MB Cache,"15.6"" IPS 1080p 10 Point Touchscreen",8GB RAM 4266MHz,"512GB PCIe 3.0 x4, NVMe SSD",Intel Iris Xe Graphics,Shared system memory,"13.98"" x 9.05"" x 0.59""",3.99 lbs.,Intel Core i5 11th Gen,1135G7 (2.40GHz),,Quad-core Processor,8 MB,"15.6""",10 Point Touchscreen,Yes,Full HD,1920 x 1080,IPS,,Intel Iris Xe Graphics,Integrated Card,"512GB PCIe 3.0 x4, NVMe SSD",,,,,802.11ax  Wireless LAN,,Bluetooth 5.1,,,,,,,Thin and Light,Work / Business,Business,78 WHr,,,"October 06, 2021","2    1,079.99
Name: 43, dtype: object",,,,,,,,,,,,AC 100/240V (50/60 Hz),One-year Battery Warranty,,Realtek ALC711 Onboard Audio,,,,,,,,,,,,,,,,,,,,,,,,
"Lenovo Laptop ThinkPad E15 Gen 2 (Intel) 20TD00B7US Intel Core i5 11th Gen 1135G7 (2.40GHz) 8GB Memory 256 GB PCIe SSD Intel Iris Xe Graphics 15.6"" Windows 10 Pro 64-bit",#76 in Laptops / Notebooks,Lenovo,ThinkPad E15 Gen 2 (Intel),20TD00B7US,Black,Windows 10 Pro 64-bit,Intel Core i5-1135G7 2.40 GHz,"15.6""",8GB,256 GB M.2 2242 PCIe 3.0x4 NVMe SSD,Intel Iris Xe Graphics,Shared system memory,"14.37"" x 9.45"" x 0.74""",3.75 lbs.,Intel Core i5 11th Gen,1135G7 (2.40GHz),,Quad-core Processor,8 MB,"15.6""",No,Yes,Full HD,1920 x 1080,TN,TN 220 nits Anti-glare,Intel Iris Xe Graphics,Integrated Card,256 GB PCIe,8 GB x 1,1,0,No,802.11ax  Wireless LAN,Wi-Fi 6,Bluetooth 5.2,1 x USB 3.2 Gen 1 (Always On)1 x USB 2.0,1 x HDMI 1.4b,,Non-backlit,720p with Privacy Shutter,,Thin and Light,Work / Business,Business,Integrated 45Wh,MobileMark 2014: 10.8 hrMobileMark 2018: 8.2 hr,,"March 17, 2021","2    829.99
Name: 44, dtype: object",20TD00B7US **Damaged Box**,No,DDR4 3200,****Damaged Box****,Tiger Lake,"256 GB M.2 2242 PCIe 3.0x4 NVMe SSDStorage Support: Up to two drives, 1x M.2 2242 SSD + 1x M.2 2280 SSDM.2 2280 SSD up to 1TBM.2 2242 SSD up to 512GB",32 GB,,"1 x Thunderbolt 4 / USB4 40Gbps (support data transfer, Power Delivery 3.0 and DisplayPort 1.4)",1 x headphone / microphone combo jack (3.5mm),,65W USB-C,,,"High Definition (HD) Audio, Realtek ALC3287 codec",GDDR6,10/100/1000Mbps,1 x RJ-45 (1Gbps),"Stereo speakers, 2W x2, Dolby Audio, HARMAN-branded",,,,,,,,,,,,,,,,,,,,
"ASUS ZenBook Duo 14 UX482 14"" FHD NanoEdge Touch Display, Intel Evo Platform, Core i7-1195G7, 8GB RAM, 512GB PCIe SSD, Innovative ScreenPad Plus, Windows 10 Home, Celestial Blue, UX482EAR-DB71T - OEM",#78 in Laptops / Notebooks,ASUS,ZenBook Duo 14,UX482EAR-DB71T,Celestial Blue,Windows 10 Home 64-bit,Intel Core i7-1195G7 2.90 GHz,"14"" Touchscreen",8GB,512 GB PCIe SSD,Intel Iris Xe Graphics,Shared system memory,"12.76"" x 8.74"" x 0.67""-0.68""",3.46 lbs.,Intel Core i7 11th Gen,1195G7 (2.90GHz),Up to 5.00 GHz,Quad-core Processor,12 MB,"14.0""",Yes,Yes,Full HD,1920 x 1080,,"LED Back-lit-Narrow border, 400 nits",Intel Iris Xe Graphics,Integrated Card,512 GB PCIe,8 GB onboard,0,0,No,802.11ax  Wireless LAN,Wi-Fi 6,Bluetooth 5.2 (Dual Band) 2x2,1 x USB 3.2 Gen 1 Type-A,1 x HDMI 1.4,Backlit Chiclet Keyboard,Backlit,HD camera with IR function to support Windows Hello,Micro SD,Thin and Light,Home / Personal,Consumer,"70WHrs, 4S1P, 4-cell Li-ion",,NotebookPower AdapterSleeveStandStylusUser E-ManualWarranty Card,"October 15, 2021","2    1,254.99
Name: 45, dtype: object",90NB0S41-M05320,No,,,Tiger Lake,,,,2 x Thunderbolt 4 supports display / power deliver,1 x Headphone/Microphone Combo Jack,ScreenPad Plus,,,,,,,,,Thin,,,,,,,,,,,,,,,,,,,
"ASUS VivoBook 15 M515 Thin and Light Laptop, 15.6"" IPS FHD Display, AMD Ryzen 7 5700U, 8GB DDR4 RAM, 512GB PCIe SSD, Fingerprint Reader, Windows 10 Home, Slate Gray, M515UA-EB72",#2 in Laptops / Notebooks,ASUS,VivoBook,M515UA-EB72,Slate Gray,Windows 10 Home 64-bit,AMD Ryzen 7 5700U 1.80 GHz,"15.6"" IPS",8GB,512 GB M.2 NVMe PCIe 3.0 SSD,AMD Radeon Graphics,Shared system memory,"14.18"" x 9.25"" x 0.78""",3.97 lbs.,AMD Ryzen 7 5000 Series,5700U (1.80GHz),,8-core Processor,8 MB,"15.6""",No,Yes,Full HD,1920 x 1080,IPS,"250 nits, Anti-glare, 45% NTSC, IPS-level Panel",AMD Radeon Graphics,Integrated Card,512 GB PCIe,8 GB onboard,1,1,No,802.11ac  Wireless LAN,Wi-Fi 5,Bluetooth 4.1 (Dual band) 1x1,1 x USB 3.2 Gen 1 Type-A1 x USB 3.2 Gen 1 Type-C2 x USB 2.0 Type-A,1 x HDMI 1.4,Backlit Chiclet Keyboard,Backlit,VGA camera,,Thin and Light,Home / Personal,Consumer,"37 WHrs, 2S1P, 2-cell Li-ion",,,"June 29, 2021","2    629.99
Name: 47, dtype: object",90NB0U11-M05530,,,Fingerprint reader,,"1 x M.2 2280 PCIe 3.0x41 x STD 2.5"" SATA HDD",16 GB,,,1 x 3.5mm Combo Audio Jack,,"45W AC AdapterOutput: 19V DC, 2.37A, 45WInput: 100~240V AC 50/60Hz universal",,45% NTSC,SonicMasterBuilt-in speakerBuilt-in microphone,,,,,,,,,,,,,,,,,,,,,,,,
