,Unnamed: 0,Company,Product,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price_euros,Approx Gpu,Model_x,Benchmark_x,Model_y,Benchmark_y,Cpu percentile,Gpu percentile,Weight percentile,Ram percentile,Size percentile,Pixels,Pixel percentile
0,3,HP,250 G6,Notebook,15.6,Full HD 1920x1080,Core i5 7200U,8.0,256GB SSD,Intel HD Graphics 620,No OS,1.86,575.0,Iris Plus G4,Core i5 7200U,57.6,Iris Plus G4,7.26,0.38578199052132706,0.7374407582938389,0.3492890995260664,0.514218009478673,0.5976303317535545,1920,0.5857819905213271
1,133,Dell,Inspiron 5567,Notebook,15.6,1366x768,Core i5 7200U,8.0,1TB HDD,AMD Radeon R7 M445,Windows 10,2.36,638.99,Iris Plus G4,Core i5 7200U,57.6,Iris Plus G4,7.26,0.38578199052132706,0.7374407582938389,0.7407582938388626,0.514218009478673,0.5976303317535545,1366,0.12132701421800947
2,804,Lenovo,ThinkPad X1,2 in 1 Convertible,14.0,IPS Panel Touchscreen 2560x1440,Core i5 7200U,8.0,256GB SSD,Intel HD Graphics 620,Windows 10,1.42,2330.0,Iris Plus G4,Core i5 7200U,57.6,Iris Plus G4,7.26,0.38578199052132706,0.7374407582938389,0.1786729857819905,0.514218009478673,0.25687203791469193,2560,0.9682464454976304
3,375,HP,Elitebook 1040,Ultrabook,14.0,IPS Panel Full HD 1920x1080,Core i7 7500U,8.0,256GB SSD,Intel HD Graphics 620,Windows 10,1.36,1750.0,Iris Plus G4,Core i7 7500U,58.9,Iris Plus G4,7.26,0.5516587677725119,0.7374407582938389,0.14360189573459714,0.514218009478673,0.25687203791469193,1920,0.5857819905213271
4,445,Lenovo,ThinkPad T470s,Ultrabook,14.0,2560x1440,Core i7 7500U,24.0,512GB SSD,Intel HD Graphics 620,Windows 10,1.32,2382.0,Iris Plus G4,Core i7 7500U,58.9,Iris Plus G4,7.26,0.5516587677725119,0.7374407582938389,0.12985781990521328,0.9829383886255925,0.25687203791469193,2560,0.9682464454976304
5,309,Asus,GL553VE-FY082T (i7-7700HQ/8GB/1TB,Gaming,15.6,Full HD 1920x1080,Core i7 7700HQ,8.0,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,Windows 10,2.5,1265.0,Iris Plus G4,Core i7 7700HQ,69.2,Iris Plus G4,7.26,0.909478672985782,0.7374407582938389,0.8052132701421801,0.514218009478673,0.5976303317535545,1920,0.5857819905213271
6,312,Toshiba,Satellite Pro,Notebook,15.6,IPS Panel Full HD 1920x1080,Core i7 6500U,8.0,256GB SSD,Nvidia GeForce 930M,Windows 10,2.2,1043.0,Iris Plus G4,Core i7 6500U,55.6,Iris Plus G4,7.26,0.25118483412322273,0.7374407582938389,0.6189573459715639,0.514218009478673,0.5976303317535545,1920,0.5857819905213271
7,11,HP,250 G6,Notebook,15.6,1366x768,Core i5 7200U,4.0,500GB HDD,Intel HD Graphics 620,No OS,1.86,393.9,UHD Graphics 600,Core i5 7200U,57.6,UHD Graphics 600,1.51,0.38578199052132706,0.050710900473933646,0.3492890995260664,0.11137440758293839,0.5976303317535545,1366,0.12132701421800947
8,70,Lenovo,V310-15ISK (i5-7200U/4GB/1TB/FHD/W10),Notebook,15.6,Full HD 1920x1080,Core i5 7200U,4.0,1TB HDD,Intel HD Graphics 620,Windows 10,1.9,549.0,UHD Graphics 600,Core i5 7200U,57.6,UHD Graphics 600,1.51,0.38578199052132706,0.050710900473933646,0.3744075829383886,0.11137440758293839,0.5976303317535545,1920,0.5857819905213271
9,221,Lenovo,IdeaPad 320-17IKB,Notebook,17.3,1600x900,Core i5 7200U,8.0,1TB HDD,Nvidia GeForce GTX 940MX,No OS,2.8,589.0,UHD Graphics 600,Core i5 7200U,57.6,UHD Graphics 600,1.51,0.38578199052132706,0.050710900473933646,0.8990521327014218,0.514218009478673,0.928909952606635,1600,0.21327014218009477
10,288,Lenovo,Ideapad 320-15IKBN,Notebook,15.6,Full HD 1920x1080,Core i5 7200U,6.0,256GB SSD,Intel HD Graphics 620,Windows 10,2.2,579.0,UHD Graphics 600,Core i5 7200U,57.6,UHD Graphics 600,1.51,0.38578199052132706,0.050710900473933646,0.6189573459715639,0.23507109004739338,0.5976303317535545,1920,0.5857819905213271
11,39,HP,250 G6,Notebook,15.6,1366x768,Core i5 7200U,4.0,1TB HDD,Intel HD Graphics 620,Windows 10,1.86,488.69,UHD Graphics 605,Core i5 7200U,57.6,UHD Graphics 605,2.16,0.38578199052132706,0.24360189573459717,0.3492890995260664,0.11137440758293839,0.5976303317535545,1366,0.12132701421800947
12,78,Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,Full HD 1920x1080,Core i5 7200U,8.0,2TB HDD,Intel HD Graphics 620,No OS,2.2,519.0,UHD Graphics 605,Core i5 7200U,57.6,UHD Graphics 605,2.16,0.38578199052132706,0.24360189573459717,0.6189573459715639,0.514218009478673,0.5976303317535545,1920,0.5857819905213271
13,89,HP,250 G6,Notebook,15.6,Full HD 1920x1080,Core i5 7200U,8.0,256GB SSD,Intel HD Graphics 620,Windows 10,1.96,598.99,UHD Graphics 605,Core i5 7200U,57.6,UHD Graphics 605,2.16,0.38578199052132706,0.24360189573459717,0.4156398104265403,0.514218009478673,0.5976303317535545,1920,0.5857819905213271
14,125,Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,Full HD 1920x1080,Core i5 7200U,8.0,256GB SSD,Nvidia GeForce 940MX,No OS,2.2,629.0,UHD Graphics 605,Core i5 7200U,57.6,UHD Graphics 605,2.16,0.38578199052132706,0.24360189573459717,0.6189573459715639,0.514218009478673,0.5976303317535545,1920,0.5857819905213271
15,174,Huawei,MateBook X,Ultrabook,13.0,IPS Panel Full HD 2160x1440,Core i5 7200U,8.0,256GB SSD,Intel HD Graphics 620,Windows 10,1.05,1349.0,UHD Graphics 605,Core i5 7200U,57.6,UHD Graphics 605,2.16,0.38578199052132706,0.24360189573459717,0.007582938388625592,0.514218009478673,0.03364928909952607,2160,0.9511848341232227
16,196,Xiaomi,Mi Notebook,Ultrabook,13.3,IPS Panel Full HD 1920x1080,Core i5 7200U,8.0,256GB SSD,Nvidia GeForce MX150,No OS,1.3,999.9,UHD Graphics 605,Core i5 7200U,57.6,UHD Graphics 605,2.16,0.38578199052132706,0.24360189573459717,0.11895734597156399,0.514218009478673,0.10236966824644549,1920,0.5857819905213271
17,213,Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,1366x768,Core i5 7200U,8.0,256GB SSD,Intel HD Graphics 620,Windows 10,2.2,597.0,UHD Graphics 605,Core i5 7200U,57.6,UHD Graphics 605,2.16,0.38578199052132706,0.24360189573459717,0.6189573459715639,0.514218009478673,0.5976303317535545,1366,0.12132701421800947
18,233,Asus,K756UX-T4340T (i5-7200U/8GB/500GB,Notebook,17.3,Full HD 1920x1080,Core i5 7200U,8.0,256GB SSD +  500GB HDD,Nvidia GeForce GTX 950M,Windows 10,2.69,891.0,UHD Graphics 605,Core i5 7200U,57.6,UHD Graphics 605,2.16,0.38578199052132706,0.24360189573459717,0.8668246445497629,0.514218009478673,0.928909952606635,1920,0.5857819905213271
19,272,Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,Full HD 1920x1080,Core i5 7200U,4.0,1TB HDD,Intel HD Graphics 620,No OS,2.2,467.0,UHD Graphics 605,Core i5 7200U,57.6,UHD Graphics 605,2.16,0.38578199052132706,0.24360189573459717,0.6189573459715639,0.11137440758293839,0.5976303317535545,1920,0.5857819905213271
20,307,Lenovo,IdeaPad 320-17IKB,Notebook,17.3,1600x900,Core i5 7200U,6.0,1TB HDD,Nvidia GeForce GTX 940M,Windows 10,2.8,649.0,UHD Graphics 605,Core i5 7200U,57.6,UHD Graphics 605,2.16,0.38578199052132706,0.24360189573459717,0.8990521327014218,0.23507109004739338,0.928909952606635,1600,0.21327014218009477
21,313,Lenovo,IdeaPad 320-15IKB,Notebook,15.6,Full HD 1920x1080,Core i5 7200U,8.0,128GB SSD +  1TB HDD,Nvidia GeForce 940MX,Windows 10,2.3,819.0,UHD Graphics 605,Core i5 7200U,57.6,UHD Graphics 605,2.16,0.38578199052132706,0.24360189573459717,0.7018957345971565,0.514218009478673,0.5976303317535545,1920,0.5857819905213271
22,323,HP,ProBook 640,Notebook,14.0,Full HD 1920x1080,Core i5 7200U,8.0,256GB SSD,Intel HD Graphics 620,Windows 10,1.95,980.0,UHD Graphics 605,Core i5 7200U,57.6,UHD Graphics 605,2.16,0.38578199052132706,0.24360189573459717,0.40568720379146916,0.514218009478673,0.25687203791469193,1920,0.5857819905213271
23,337,Toshiba,Satellite Pro,Notebook,15.6,IPS Panel Full HD 1920x1080,Core i5 7200U,8.0,256GB SSD,Intel HD Graphics 620,Windows 10,2.0,943.0,UHD Graphics 605,Core i5 7200U,57.6,UHD Graphics 605,2.16,0.38578199052132706,0.24360189573459717,0.43981042654028435,0.514218009478673,0.5976303317535545,1920,0.5857819905213271
